ID,Address,City,State,Zip,Country,Lat,Lng
ChIJywfGBQFZwokRLWuaDWj904Q,295 Madison Ave,New York,NY,10017,USA,40.7516776,-73.97954709999999
ChIJ_2IfXlNYwokRUXCGrpsxCY8,251 W 42nd St,New York,NY,10036,USA,40.7571932,-73.9891559
ChIJvYY_bANZwokRyUuTrh-4eGQ,220 E 42nd St,New York,NY,10017,USA,40.7498855,-73.9732203
ChIJx_f3KwFZwokR0LOK6QyTHTk,125 Park Ave,New York,NY,10017,USA,40.7515917,-73.9775039
ChIJlVL8eFNYwokRYv4ltj4sHis,684 8th Ave,New York,NY,10036,USA,40.7579792,-73.9889372
ChIJi2ZrWFJYwokRlrr7eU-pfCU,593 9th Ave,New York,NY,10036,USA,40.75900960000001,-73.9924904
ChIJeXOSIKxZwokRwoMvAu_Ixbg,450 7th Ave,New York,NY,10123,USA,40.7514408,-73.990675
ChIJL4XN7wJZwokREf3Hqr6VX70,685 3rd Ave,New York,NY,10017,USA,40.7517242,-73.9734197
ChIJlTisbQJZwokRRDFLYZOmLC4,450 Lexington Ave,New York,NY,10017,USA,40.7532668,-73.9754426
ChIJpVHOBFVYwokRhezK_3Sf3Dg,1530 Broadway,New York,NY,10036,USA,40.7573853,-73.98545159999999
ChIJA0-vXFFYwokRyiYYcFkK8IA,682 9th Ave,New York,NY,10036,USA,40.7616177,-73.99000769999999
ChIJmfWRmv9YwokRkMp4hJ4khQI,1166 6th Ave,New York,NY,10036,USA,40.7568722,-73.981967
ChIJd_q39v1YwokR9GWurv3crLo,230 Park Ave,New York,NY,10169,USA,40.7543721,-73.97618260000002
ChIJudA3Uv1YwokRRZzpsEzhYC4,757 3rd Ave,New York,NY,10017,USA,40.7539261,-73.9714666
ChIJt4TrE_1YwokRnZfvUSOH7Yk,511 Lexington Ave,New York,NY,10017,USA,40.7548069,-73.9731814
ChIJ5dy1TPxYwokRn00Kt86h2ns,280 Park Ave,New York,NY,10017,USA,40.7564773,-73.9752836
ChIJ3_hLEFZYwokRnlPl-saA3Vc,750 7th Ave,New York,NY,10019,USA,40.760878,-73.98389999999999
ChIJ0xY_61ZYwokRAyAUVayy2zI,325 W 49th St,New York,NY,10019,USA,40.7621772,-73.98728899999999
ChIJ9wOHwvxYwokR-1Wx4wJU0f8,560 Lexington Ave,New York,NY,10022,USA,40.7568378,-73.972596
ChIJLcntNvxYwokR8PQPm2D38Bk,425 Madison Ave,New York,NY,10017,USA,40.7569598,-73.9758958
ChIJWWPS--JYwokR5FYQxF-p3Qk,943 2nd Ave,New York,NY,10022,USA,40.7550788,-73.9687261
ChIJ6fUPUeNYwokRjZMnaMTSI1w,599 Lexington Ave,New York,NY,10022,USA,40.7578105,-73.97082189999999
ChIJJwlfea5ZwokRudCOFJtCZPQ,525 7th Ave,New York,NY,10018,USA,40.7535379,-73.9883759
ChIJh4L9jPhYwokRAEw9ZKGSzD0,156 W 52nd St,New York,NY,10019,USA,40.7618584,-73.9816831
ChIJtVPYoldYwokRyDoPj7jHHwk,871 8th Ave,New York,NY,10019,USA,40.7637587,-73.9853857
ChIJ0YWmq-RYwokRppN3qe8uMYs,630 Lexington Ave,New York,NY,10022,USA,40.7588489,-73.9712073
ChIJu2qjCvlYwokRN7Z1aegQ3S4,1320 6th Ave,New York,NY,10019,USA,40.7620309,-73.978561
ChIJA37XI-VYwokRyfsfKnbqR9U,116 E 57th St,New York,NY,10022,USA,40.7610356,-73.9700998
ChIJp-ATPP5YwokR3evcXj_CUkY,545 5th Ave,New York,NY,10017,USA,40.7550848,-73.9792147
ChIJuX6fwORYwokRsBjYeqfYyag,655 Lexington Ave,New York,NY,10022,USA,40.7594916,-73.9700383
ChIJxa7PohZawokRx8qgPdg1VQM,55 Broad St,New York,NY,10004,USA,40.7052927,-74.0108765
ChIJ1TCSqfdYwokRRh47IRHQVSY,4 Columbus Cir,New York,NY,10019,USA,40.76737199999999,-73.9829077
ChIJQ8KjZfdYwokRCR1WPJbqvi0,142 W 57th St,New York,NY,10019,USA,40.7648242,-73.9792291
ChIJM5dfA_ZYwokRjAj647f0158,1841 Broadway,New York,NY,10023,USA,40.769258,-73.9825697
ChIJBUBOb1hYwokRimygkgG08cE,322 W 57th St,New York,NY,10019,USA,40.7667994,-73.9841263
ChIJvbzoi_VYwokRbIFRXNgkz9M,1889 Broadway,New York,NY,10023,USA,40.7713782,-73.98277399999999
ChIJkXaPlOdYwokRBHlHuZzU9_8,1102 1st Avenue,New York,NY,10022,USA,40.7604394,-73.960646
ChIJZVB5eYpYwokRoo3snCpvBvw,2045 Broadway,New York,NY,10023,USA,40.7777202,-73.9826612
ChIJ7YeflItYwokRxPsnlM6LjcQ,275 Columbus Ave,New York,NY,10023,USA,40.7778724,-73.9781692
